Move_Id,untranslate,translated,description
0,通常撃ちLv１,Normal Shot,Lv1
1,通常撃ちLv２,Normal Shot,Lv2
2,通常撃ちLv３,Normal Shot,Lv3
3,通常撃ちLv４,Normal Shot,Lv4
4,,,
5,剛射Lv１,,guess dummy
6,剛射Lv２,Power Shot,Lv2
7,剛射Lv３,Power Shot,Lv3
8,剛射Lv４,Power Shot,Lv4
9,,,
10,曲射Lv１,Arc Shot,Lv1
11,曲射Lv２,Arc Shot,Lv2
12,曲射Lv３,Arc Shot,Lv3
13,曲射Lv４,Arc Shot,Lv4
14,,,
15,必殺撃ちLv１,Dragon Piercer,Lv1
16,必殺撃ちLv２,Dragon Piercer,Lv2
17,必殺撃ちLv３,Dragon Piercer,Lv3
18,必殺撃ちLv４,Dragon Piercer,Lv4
19,,,
20,クイックショット,Quick Shot,
21,曲射(本体),Arc Shot,Projectile
22,,,
23,,,
24,,,
25,壁登り撃ちLv3,Wall Shot,Lv3
26,壁登り撃ちLv4,Wall Shot,Lv4
27,,,
28,真剛射 スリンガー弾,Thousand Dragons,(Slinger Shot)
29,真剛射 スリンガー弾（貫通）,Thousand Dragons,(Piercer Slinger Shot)
30,真剛射 本体,Thousand Dragons,(Main Arrows)
