Move_Id,untranslate,translated,description
0,,Spirit Helm Breaker,[Red Gauge] (2-6 Hit)
1,,Spirit Helm Breaker,[Red Gauge] (1st Hit)
2,,Spirit Helm Breaker,[Red Gauge] (7th Hit)
3,,,
4,,Spirit Helm Breaker,[Yellow Gauge] (2-6 Hit)
5,,Spirit Helm Breaker,[Yellow Gauge] (1st Hit)
6,,Spirit Helm Breaker,[Yellow Gauge] (7th Hit)
7,,,
8,,Spirit Helm Breaker,[White Gauge] (2-6 Hit)
9,,Spirit Helm Breaker,[White Gauge] (1st Hit)
10,,Spirit Helm Breaker,[White Gauge] (7th Hit)
11,,,
12,,Iai Spirit Slash,[Red Gauge] (2nd Hit)
13,,Iai Spirit Slash,[Yellow Gauge]  (2nd Hit)
14,,Iai Spirit Slash,[White Gauge]  (2nd Hit)
15,,,
